@timestamp	nginx.access.remote_ip_list	Allowed
"July 2nd 2018, 07:18:16.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:16.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:16.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:15.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:14.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:14.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:13.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:13.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:12.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:11.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:10.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:10.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:09.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:07.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:07.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:06.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:06.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:06.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:05.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:05.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:05.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:04.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:04.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:03.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:03.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:03.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:03.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:03.000"	"[""170.248.138.47""]"	yes
"July 2nd 2018, 07:18:02.000"	"[""34.206.40.30""]"	no
"July 2nd 2018, 07:18:01.000"	"[""170.248.138.47""]"	yes
